Seite (Noten),Seite,Buch,Künstler,Titel
340,318,1,Dire Straits,Romeo And Juliet
345,323,1,Dire Straits,Sultans of Swing
78,72,2,Dire Straits,Brothers In Arms
126,116,2,Dire Straits,Money For Nothing
422,222,2,Dire Straits,Your Latest Trick
302,290,2,Dire Straits,Why Worry
358,341,2,Dire Straits,Walk Of Life
65,65,4,Dire Straits,Private Investigations
42,44,3,Disney,Supercalifragilistic
115,115,5,DJ BoBo,Everybody
8,10,3,DJ Ötzi,Anton aus Tirol
81,83,3,DJ Ötzi,Ein Stern (der deinen Namen tr
242,240,3,DJ Ötzi,Hey Baby
21,21,4,DJ Ötzi,Noch in 100.000 Jahren
346,331,2,DÖF,Codo
230,230,4,DÖF,Taxi
80,82,3,Dolls United,Eine Insel mit zwei Bergen
172,162,2,Don Henley ,The Boys Of Summer
7,7,1,Don McLean,Vincent
225,214,1,Don McLean,American Pie
352,352,4,Donikkl,So ein schöner Tag
69,69,4,Donna Summer,Hot Stuff
106,106,4,Donna Summer,She Works Hard For The Money
4,4,1,Donovan,The Universal Soldier
265,252,2,Donovan,Atlantis
296,292,3,Donovan,Colours
0,81,3,Doris Day,Que serà
69,69,W,Doris Day,Here Comes Santa Claus
60,60,4,Doris Day ,Que sera sera
215,204,1,Dorthe Kolls,Am Sonntag will mein Süßer mit mir segeln gehen
